,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,female,group B,bachelor's degree,standard,0,72,72,74
1,female,group C,some college,standard,1,69,90,88
2,female,group B,master's degree,standard,0,90,95,93
3,male,group A,associate's degree,free/reduced,0,47,57,44
4,male,group C,some college,standard,0,76,78,75
5,female,group B,associate's degree,standard,0,71,83,78
6,female,group B,some college,standard,1,88,95,92
7,male,group B,some college,free/reduced,0,40,43,39
8,male,group D,high school,free/reduced,1,64,64,67
9,female,group B,high school,free/reduced,0,38,60,50
10,male,group C,associate's degree,standard,0,58,54,52
11,male,group D,associate's degree,standard,0,40,52,43
12,female,group B,high school,standard,0,65,81,73
13,male,group A,some college,standard,1,78,72,70
14,female,group A,master's degree,standard,0,50,53,58
15,female,group C,some high school,standard,0,69,75,78
16,male,group C,high school,standard,0,88,89,86
17,female,group B,some high school,free/reduced,0,18,32,28
18,male,group C,master's degree,free/reduced,1,46,42,46
19,female,group C,associate's degree,free/reduced,0,54,58,61
20,male,group D,high school,standard,0,66,69,63
21,female,group B,some college,free/reduced,1,65,75,70
22,male,group D,some college,standard,0,44,54,53
23,female,group C,some high school,standard,0,69,73,73
24,male,group D,bachelor's degree,free/reduced,1,74,71,80
25,male,group A,master's degree,free/reduced,0,73,74,72
26,male,group B,some college,standard,0,69,54,55
27,female,group C,bachelor's degree,standard,0,67,69,75
28,male,group C,high school,standard,0,70,70,65
29,female,group D,master's degree,standard,0,62,70,75
30,female,group D,some college,standard,0,69,74,74
31,female,group B,some college,standard,0,63,65,61
32,female,group E,master's degree,free/reduced,0,56,72,65
33,male,group D,some college,standard,0,40,42,38
34,male,group E,some college,standard,0,97,87,82
35,male,group E,associate's degree,standard,1,81,81,79
36,female,group D,associate's degree,standard,0,74,81,83
37,female,group D,some high school,free/reduced,0,50,64,59
38,female,group D,associate's degree,free/reduced,1,75,90,88
39,male,group B,associate's degree,free/reduced,0,57,56,57
40,male,group C,associate's degree,free/reduced,0,55,61,54
41,female,group C,associate's degree,standard,0,58,73,68
42,female,group B,associate's degree,standard,0,53,58,65
43,male,group B,some college,free/reduced,1,59,65,66
44,female,group E,associate's degree,free/reduced,0,50,56,54
45,male,group B,associate's degree,standard,0,65,54,57
46,female,group A,associate's degree,standard,1,55,65,62
47,female,group C,high school,standard,0,66,71,76
48,female,group D,associate's degree,free/reduced,1,57,74,76
49,male,group C,high school,standard,1,82,84,82
50,male,group E,some college,standard,0,53,55,48
51,male,group E,associate's degree,free/reduced,1,77,69,68
52,male,group C,some college,standard,0,53,44,42
53,male,group D,high school,standard,0,88,78,75
54,female,group C,some high school,free/reduced,1,71,84,87
55,female,group C,high school,free/reduced,0,33,41,43
56,female,group E,associate's degree,standard,1,82,85,86
57,male,group D,associate's degree,standard,0,52,55,49
58,male,group D,some college,standard,1,58,59,58
59,female,group C,some high school,free/reduced,0,0,17,10
60,male,group E,bachelor's degree,free/reduced,1,79,74,72
61,male,group A,some high school,free/reduced,0,39,39,34
62,male,group A,associate's degree,free/reduced,0,62,61,55
63,female,group C,associate's degree,standard,0,69,80,71
64,female,group D,some high school,standard,0,59,58,59
65,male,group B,some high school,standard,0,67,64,61
66,male,group D,some high school,free/reduced,0,45,37,37
67,female,group C,some college,standard,0,60,72,74
68,male,group B,associate's degree,free/reduced,0,61,58,56
69,female,group C,associate's degree,standard,0,39,64,57
70,female,group D,some college,free/reduced,1,58,63,73
71,male,group D,some college,standard,1,63,55,63
72,female,group A,associate's degree,free/reduced,0,41,51,48
73,male,group C,some high school,free/reduced,0,61,57,56
74,male,group C,some high school,standard,0,49,49,41
75,male,group B,associate's degree,free/reduced,0,44,41,38
76,male,group E,some high school,standard,0,30,26,22
77,male,group A,bachelor's degree,standard,1,80,78,81
78,female,group D,some high school,standard,1,61,74,72
79,female,group E,master's degree,standard,0,62,68,68
80,female,group B,associate's degree,standard,0,47,49,50
81,male,group B,high school,free/reduced,0,49,45,45
82,male,group A,some college,free/reduced,1,50,47,54
83,male,group E,associate's degree,standard,0,72,64,63
84,male,group D,high school,free/reduced,0,42,39,34
85,female,group C,some college,standard,0,73,80,82
86,female,group C,some college,free/reduced,0,76,83,88
87,female,group D,associate's degree,standard,0,71,71,74
88,female,group A,some college,standard,0,58,70,67
89,female,group D,some high school,standard,0,73,86,82
90,female,group C,bachelor's degree,standard,0,65,72,74
91,male,group C,high school,free/reduced,0,27,34,36
92,male,group C,high school,standard,0,71,79,71
93,male,group C,associate's degree,free/reduced,1,43,45,50
94,female,group B,some college,standard,0,79,86,92
95,male,group C,associate's degree,free/reduced,1,78,81,82
96,male,group B,some high school,standard,1,65,66,62
97,female,group E,some college,standard,1,63,72,70
98,female,group D,some college,free/reduced,0,58,67,62
99,female,group D,bachelor's degree,standard,0,65,67,62
100,male,group B,some college,standard,0,79,67,67
101,male,group D,bachelor's degree,standard,1,68,74,74
102,female,group D,associate's degree,standard,0,85,91,89
103,male,group B,high school,standard,1,60,44,47
104,male,group C,some college,standard,1,98,86,90
105,female,group C,some college,standard,0,58,67,72
106,female,group D,master's degree,standard,0,87,100,100
107,male,group E,associate's degree,standard,1,66,63,64
108,female,group B,associate's degree,free/reduced,0,52,76,70
109,female,group B,some high school,standard,0,70,64,72
110,female,group D,associate's degree,free/reduced,1,77,89,98
111,male,group C,high school,standard,0,62,55,49
112,male,group A,associate's degree,standard,0,54,53,47
113,female,group D,some college,standard,0,51,58,54
114,female,group E,bachelor's degree,standard,1,99,100,100
115,male,group C,high school,standard,0,84,77,74
116,female,group B,bachelor's degree,free/reduced,0,75,85,82
117,female,group D,bachelor's degree,standard,0,78,82,79
118,female,group D,some high school,standard,0,51,63,61
119,female,group C,some college,standard,0,55,69,65
120,female,group C,bachelor's degree,standard,1,79,92,89
121,male,group B,associate's degree,standard,1,91,89,92
122,female,group C,some college,standard,1,88,93,93
123,male,group D,high school,free/reduced,0,63,57,56
124,male,group E,some college,standard,0,83,80,73
125,female,group B,high school,standard,0,87,95,86
126,male,group B,some high school,standard,0,72,68,67
127,male,group D,some college,standard,1,65,77,74
128,male,group D,master's degree,standard,0,82,82,74
129,female,group A,bachelor's degree,standard,0,51,49,51
130,male,group D,master's degree,standard,0,89,84,82
131,male,group C,some high school,free/reduced,1,53,37,40
132,male,group E,some college,free/reduced,1,87,74,70
133,female,group C,some college,standard,1,75,81,84
134,male,group D,bachelor's degree,free/reduced,1,74,79,75
135,male,group C,bachelor's degree,standard,0,58,55,48
136,male,group B,some high school,standard,1,51,54,41
137,male,group E,high school,standard,0,70,55,56
138,female,group C,associate's degree,standard,0,59,66,67
139,male,group D,some college,standard,1,71,61,69
140,female,group D,some high school,standard,0,76,72,71
141,female,group C,some college,free/reduced,0,59,62,64
142,female,group E,some college,free/reduced,1,42,55,54
143,male,group A,high school,standard,0,57,43,47
144,male,group D,some college,standard,0,88,73,78
145,female,group C,some college,free/reduced,0,22,39,33
146,male,group B,some high school,standard,0,88,84,75
147,male,group C,associate's degree,free/reduced,0,73,68,66
148,female,group D,bachelor's degree,standard,1,68,75,81
149,male,group E,associate's degree,free/reduced,1,100,100,93
150,male,group A,some high school,standard,1,62,67,69
151,male,group A,bachelor's degree,standard,0,77,67,68
152,female,group B,associate's degree,standard,1,59,70,66
153,male,group D,bachelor's degree,standard,0,54,49,47
154,male,group D,some high school,standard,0,62,67,61
155,female,group C,some college,standard,1,70,89,88
156,female,group E,high school,free/reduced,1,66,74,78
157,male,group B,some college,free/reduced,0,60,60,60
158,female,group B,associate's degree,standard,1,61,86,87
159,male,group D,associate's degree,free/reduced,0,66,62,64
160,male,group B,associate's degree,free/reduced,1,82,78,74
161,female,group E,some college,free/reduced,1,75,88,85
162,male,group B,master's degree,free/reduced,0,49,53,52
163,male,group C,high school,standard,0,52,53,49
164,female,group E,master's degree,standard,0,81,92,91
165,female,group C,bachelor's degree,standard,1,96,100,100
166,male,group C,high school,free/reduced,1,53,51,51
167,female,group B,master's degree,free/reduced,1,58,76,78
168,female,group B,high school,standard,1,68,83,78
169,female,group C,some college,free/reduced,1,67,75,70
170,male,group A,high school,standard,1,72,73,74
171,male,group E,some high school,standard,0,94,88,78
172,female,group D,some college,standard,0,79,86,81
173,female,group C,associate's degree,standard,0,63,67,70
174,female,group C,bachelor's degree,free/reduced,1,43,51,54
175,female,group C,master's degree,standard,1,81,91,87
176,female,group B,high school,free/reduced,1,46,54,58
177,female,group C,associate's degree,standard,1,71,77,77
178,female,group B,master's degree,free/reduced,1,52,70,62
179,female,group D,some high school,standard,1,97,100,100
180,male,group C,master's degree,free/reduced,1,62,68,75
181,female,group C,some college,free/reduced,0,46,64,66
182,female,group E,high school,standard,0,50,50,47
183,female,group D,associate's degree,standard,0,65,69,70
184,male,group C,some high school,free/reduced,1,45,52,49
185,male,group C,associate's degree,free/reduced,1,65,67,65
186,male,group E,high school,standard,0,80,76,65
187,male,group D,some high school,standard,1,62,66,68
188,male,group B,some high school,free/reduced,0,48,52,45
189,female,group C,bachelor's degree,standard,0,77,88,87
190,female,group E,associate's degree,standard,0,66,65,69
191,male,group D,some college,standard,1,76,83,79
192,female,group B,some high school,standard,0,62,64,66
193,male,group D,some college,standard,1,77,62,62
194,female,group C,master's degree,standard,1,69,84,85
195,male,group D,associate's degree,standard,0,61,55,52
196,male,group C,some high school,free/reduced,1,59,69,65
197,male,group E,high school,free/reduced,0,55,56,51
198,female,group B,some college,free/reduced,0,45,53,55
199,female,group B,bachelor's degree,free/reduced,0,78,79,76
200,female,group C,associate's degree,standard,1,67,84,86
201,female,group D,some college,free/reduced,0,65,81,77
202,male,group C,associate's degree,standard,0,69,77,69
203,female,group B,associate's degree,standard,0,57,69,68
204,male,group C,some college,standard,0,59,41,42
205,male,group D,some high school,standard,1,74,71,78
206,male,group E,bachelor's degree,standard,0,82,62,62
207,male,group E,high school,standard,1,81,80,76
